State,SA3_Code,SA3_Name,Age Group,% Fully
VIC,20101,Ballarat,1 Year olds,94.0814757878555
VIC,20102,Creswick - Daylesford - Ballan,1 Year olds,90.73359073359073
VIC,20103,Maryborough - Pyrenees,1 Year olds,93.45794392523365
VIC,20201,Bendigo,1 Year olds,95.53119730185497
VIC,20202,Heathcote - Castlemaine - Kyneton,1 Year olds,92.54498714652956
VIC,20203,Loddon - Elmore,1 Year olds,91.39784946236558
VIC,20301,Barwon - West,1 Year olds,93.64548494983278
VIC,20302,Geelong,1 Year olds,93.98805078416729
VIC,20303,Surf Coast - Bellarine Peninsula,1 Year olds,93.34763948497854
VIC,20401,Upper Goulburn Valley,1 Year olds,89.16967509025271
VIC,20402,Wangaratta - Benalla,1 Year olds,91.97080291970804
VIC,20403,Wodonga - Alpine,1 Year olds,92.20945083014048
VIC,20501,Baw Baw,1 Year olds,88.11748998664886
VIC,20502,Gippsland - East,1 Year olds,93.03482587064677
VIC,20503,Gippsland - South West,1 Year olds,90.28662420382165
VIC,20504,Latrobe Valley,1 Year olds,90.38004750593825
VIC,20505,Wellington,1 Year olds,89.95327102803739
VIC,20601,Brunswick - Coburg,1 Year olds,94.02628434886499
VIC,20602,Darebin - South,1 Year olds,95.42743538767395
VIC,20603,Essendon,1 Year olds,93.9443535188216
VIC,20604,Melbourne City,1 Year olds,91.12207151664612
VIC,20605,Port Phillip,1 Year olds,92.14463840399002
VIC,20606,Stonnington - West,1 Year olds,94.77272727272728
VIC,20607,Yarra,1 Year olds,93.7037037037037
VIC,20701,Boroondara,1 Year olds,95.00446030330062
VIC,20702,Manningham - West,1 Year olds,93.57429718875501
VIC,20703,Whitehorse - West,1 Year olds,95.45454545454545
VIC,20801,Bayside,1 Year olds,92.01101928374655
VIC,20802,Glen Eira,1 Year olds,94.51219512195121
VIC,20803,Kingston,1 Year olds,93.39242546333601
VIC,20804,Stonnington - East,1 Year olds,95.46925566343042
VIC,20901,Banyule,1 Year olds,93.35740072202167
VIC,20902,Darebin - North,1 Year olds,91.98782961460446
VIC,20903,Nillumbik - Kinglake,1 Year olds,92.26973684210526
VIC,20904,Whittlesea - Wallan,1 Year olds,91.70182841068917
VIC,21001,Keilor,1 Year olds,88.77887788778878
VIC,21002,Macedon Ranges,1 Year olds,92.507204610951
VIC,21003,Moreland - North,1 Year olds,89.58534233365476
VIC,21004,Sunbury,1 Year olds,92.71137026239067
VIC,21005,Tullamarine - Broadmeadows,1 Year olds,88.42975206611571
VIC,21101,Knox,1 Year olds,94.47938504542279
VIC,21102,Manningham - East,1 Year olds,89.94708994708994
VIC,21103,Maroondah,1 Year olds,94.84873262469338
VIC,21104,Whitehorse - East,1 Year olds,94.9685534591195
VIC,21105,Yarra Ranges,1 Year olds,91.57769869513642
VIC,21201,Cardinia,1 Year olds,91.66666666666666
VIC,21202,Casey - North,1 Year olds,91.1498708010336
VIC,21203,Casey - South,1 Year olds,93.47533027770288
VIC,21204,Dandenong,1 Year olds,91.99594731509625
VIC,21205,Monash,1 Year olds,94.22632794457274
VIC,21301,Brimbank,1 Year olds,90.97297297297298
VIC,21302,Hobsons Bay,1 Year olds,93.53813559322035
VIC,21303,Maribyrnong,1 Year olds,93.57512953367876
VIC,21304,Melton - Bacchus Marsh,1 Year olds,91.78189407774589
VIC,21305,Wyndham,1 Year olds,92.32397075798384
VIC,21401,Frankston,1 Year olds,93.55029585798816
VIC,21402,Mornington Peninsula,1 Year olds,88.81889763779527
VIC,21501,Grampians,1 Year olds,95.81151832460732
VIC,21502,Mildura,1 Year olds,93.96284829721363
VIC,21503,Murray River - Swan Hill,1 Year olds,94.03341288782816
VIC,21601,Campaspe,1 Year olds,94.9602122015915
VIC,21602,Moira,1 Year olds,94.4055944055944
VIC,21603,Shepparton,1 Year olds,92.19512195121952
VIC,21701,Glenelg - Southern Grampians,1 Year olds,94.19795221843003
VIC,21702,Warrnambool - Otway Ranges,1 Year olds,
VIC,21703,Colac - Corangamite,1 Year olds,91.62011173184358
VIC,21704,Warrnambool,1 Year olds,94.49378330373001
VIC,20101,Ballarat,2 Year olds,93.50073855243723
VIC,20102,Creswick - Daylesford - Ballan,2 Year olds,90.34749034749035
VIC,20103,Maryborough - Pyrenees,2 Year olds,92.03539823008849
VIC,20201,Bendigo,2 Year olds,93.76479873717443
VIC,20202,Heathcote - Castlemaine - Kyneton,2 Year olds,90.35087719298247
VIC,20203,Loddon - Elmore,2 Year olds,
VIC,20301,Barwon - West,2 Year olds,90.9967845659164
VIC,20302,Geelong,2 Year olds,91.98060425214473
VIC,20303,Surf Coast - Bellarine Peninsula,2 Year olds,90.0386847195358
VIC,20401,Upper Goulburn Valley,2 Year olds,92.40069084628671
VIC,20402,Wangaratta - Benalla,2 Year olds,91.02564102564102
VIC,20403,Wodonga - Alpine,2 Year olds,92.046783625731
VIC,20501,Baw Baw,2 Year olds,86.5979381443299
VIC,20502,Gippsland - East,2 Year olds,92.5754060324826
VIC,20503,Gippsland - South West,2 Year olds,89.6875
VIC,20504,Latrobe Valley,2 Year olds,89.84018264840182
VIC,20505,Wellington,2 Year olds,90.56603773584906
VIC,20601,Brunswick - Coburg,2 Year olds,92.0099875156055
VIC,20602,Darebin - South,2 Year olds,92.47967479674797
VIC,20603,Essendon,2 Year olds,92.35772357723577
VIC,20604,Melbourne City,2 Year olds,88.35616438356165
VIC,20605,Port Phillip,2 Year olds,92.13793103448276
VIC,20606,Stonnington - West,2 Year olds,87.52834467120182
VIC,20607,Yarra,2 Year olds,91.0904255319149
VIC,20701,Boroondara,2 Year olds,90.74702886247877
VIC,20702,Manningham - West,2 Year olds,90.36144578313254
VIC,20703,Whitehorse - West,2 Year olds,92.20125786163523
VIC,20801,Bayside,2 Year olds,89.87854251012146
VIC,20802,Glen Eira,2 Year olds,91.93205944798302
VIC,20803,Kingston,2 Year olds,92.95081967213115
VIC,20804,Stonnington - East,2 Year olds,91.96428571428571
VIC,20901,Banyule,2 Year olds,91.13263785394933
VIC,20902,Darebin - North,2 Year olds,88.93617021276596
VIC,20903,Nillumbik - Kinglake,2 Year olds,88.61386138613861
VIC,20904,Whittlesea - Wallan,2 Year olds,90.14989293361884
VIC,21001,Keilor,2 Year olds,89.0652557319224
VIC,21002,Macedon Ranges,2 Year olds,87.26415094339622
VIC,21003,Moreland - North,2 Year olds,87.99266727772685
VIC,21004,Sunbury,2 Year olds,90.53497942386831
VIC,21005,Tullamarine - Broadmeadows,2 Year olds,87.6699629171817
VIC,21101,Knox,2 Year olds,93.55670103092784
VIC,21102,Manningham - East,2 Year olds,87.03703703703704
VIC,21103,Maroondah,2 Year olds,93.10071371927042
VIC,21104,Whitehorse - East,2 Year olds,91.73553719008265
VIC,21105,Yarra Ranges,2 Year olds,90.78735940010712
VIC,21201,Cardinia,2 Year olds,90.95831077422848
VIC,21202,Casey - North,2 Year olds,87.66355140186916
VIC,21203,Casey - South,2 Year olds,91.31089904570567
VIC,21204,Dandenong,2 Year olds,88.36382113821138
VIC,21205,Monash,2 Year olds,90.8695652173913
VIC,21301,Brimbank,2 Year olds,87.66756032171583
VIC,21302,Hobsons Bay,2 Year olds,90.1296111665005
VIC,21303,Maribyrnong,2 Year olds,91.20762711864407
VIC,21304,Melton - Bacchus Marsh,2 Year olds,89.73704365585907
VIC,21305,Wyndham,2 Year olds,90.32258064516128
VIC,21401,Frankston,2 Year olds,92.52013808975835
VIC,21402,Mornington Peninsula,2 Year olds,89.04515173945225
VIC,21501,Grampians,2 Year olds,90.26086956521739
VIC,21502,Mildura,2 Year olds,93.2824427480916
VIC,21503,Murray River - Swan Hill,2 Year olds,90.54373522458629
VIC,21601,Campaspe,2 Year olds,91.62011173184358
VIC,21602,Moira,2 Year olds,94.95268138801262
VIC,21603,Shepparton,2 Year olds,87.83783783783784
VIC,21701,Glenelg - Southern Grampians,2 Year olds,90.02932551319648
VIC,21702,Warrnambool - Otway Ranges,2 Year olds,
VIC,21703,Colac - Corangamite,2 Year olds,87.66066838046272
VIC,21704,Warrnambool,2 Year olds,92.226148409894
VIC,20101,Ballarat,5 Year olds,95.80071174377224
VIC,20102,Creswick - Daylesford - Ballan,5 Year olds,93.28358208955224
VIC,20103,Maryborough - Pyrenees,5 Year olds,94.0677966101695
VIC,20201,Bendigo,5 Year olds,96.34809634809635
VIC,20202,Heathcote - Castlemaine - Kyneton,5 Year olds,94.36619718309859
VIC,20203,Loddon - Elmore,5 Year olds,95.1923076923077
VIC,20301,Barwon - West,5 Year olds,93.7125748502994
VIC,20302,Geelong,5 Year olds,95.85338763420955
VIC,20303,Surf Coast - Bellarine Peninsula,5 Year olds,93.93939393939394
VIC,20401,Upper Goulburn Valley,5 Year olds,95.01779359430606
VIC,20402,Wangaratta - Benalla,5 Year olds,93.6127744510978
VIC,20403,Wodonga - Alpine,5 Year olds,96.37599093997736
VIC,20501,Baw Baw,5 Year olds,93.54838709677419
VIC,20502,Gippsland - East,5 Year olds,91.94915254237289
